Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Acrocephalus melanopogon,Brambilla et al. (2013),LC,Aves,14,-1.457344949616671,-1.2632110062114954
Aegolius funereus,Brambilla et al. (2013),LC,Aves,167,0.17037592952512062,0.3235047765129155
Alcedo atthis,Brambilla et al. (2013),LC,Aves,43.8,-0.4533678487400183,-0.26722051888541754
Anthus campestris,Brambilla et al. (2013),LC,Aves,22.7,-1.457344949616671,-1.2655426685567974
Aquila chrysaetos,Brambilla et al. (2013),LC,Aves,5194,0.5432540425046921,-0.6508891346262875
Ardea purpurea,Brambilla et al. (2013),LC,Aves,830,-0.828991501232173,-0.853551405386361
Ardeola ralloides,Brambilla et al. (2013),LC,Aves,291,0.419074864813569,0.5389708232016567
Aythya nyroca,Brambilla et al. (2013),NT,Aves,520,1.1624552923043028,1.220977609649383
Botaurus stellaris,Brambilla et al. (2013),LC,Aves,2017,-0.3283900910161045,-0.6710745013626508
Bubo bubo,Brambilla et al. (2013),LC,Aves,2992,1.1624552923043028,0.5584638949842525
Burhinus oedicnemus,Brambilla et al. (2013),LC,Aves,449,0.419074864813569,0.4966256909536427
Calandrella brachydactyla,Brambilla et al. (2013),LC,Aves,22.7,-0.828991501232173,-0.6371892201722996
Calonectris diomedea,Brambilla et al. (2013),LC,Aves,817.3,0.17037592952512062,0.1492197163807414
Caprimulgus europaeus,Brambilla et al. (2013),LC,Aves,83.2,0.17037592952512062,0.34596377703433046
Casmerodius albus,Brambilla et al. (2013),LC,Aves,960,-0.828991501232173,-0.8883923369828283
Charadrius alexandrinus,Brambilla et al. (2013),LC,Aves,47.1,-1.457344949616671,-1.2720820434102884
Chlidonias niger,Brambilla et al. (2013),LC,Aves,58.7,0.419074864813569,0.6012288878928823
Ciconia ciconia,Brambilla et al. (2013),LC,Aves,3150,1.6557950159846635,1.0094584864165992
Circaetus gallicus,Brambilla et al. (2013),LC,Aves,1735,0.17037592952512062,-0.09673045997370444
Circus aeruginosus,Brambilla et al. (2013),LC,Aves,669,-0.4533678487400183,-0.43477859914781225
Circus pygargus,Brambilla et al. (2013),LC,Aves,345,-0.4533678487400183,-0.3479442773227708
Coracias garrulus,Brambilla et al. (2013),LC,Aves,148,-0.4533678487400183,-0.2951468655958167
Crex crex,Brambilla et al. (2013),LC,Aves,142,-0.828991501232173,-0.6691624750912114
Dendrocopos leucotos,Brambilla et al. (2013),LC,Aves,105.5,-0.2035270444213765,-0.03391575671679142
Dendrocopos medius,Brambilla et al. (2013),LC,Aves,58.8,-0.4533678487400183,-0.2712406263773176
Dryocopus martius,Brambilla et al. (2013),LC,Aves,255,-0.4533678487400183,-0.32382363237137046
Egretta garzetta,Brambilla et al. (2013),LC,Aves,510,1.038840309046732,1.1000426980530786
Emberiza hortulana,Brambilla et al. (2013),LC,Aves,26.1,-1.457344949616671,-1.266453892921628
Falco eleonorae,Brambilla et al. (2013),LC,Aves,388,0.17037592952512062,0.2642751927989212
Falco naumanni,Brambilla et al. (2013),LC,Aves,170,0.17037592952512062,0.3227007550145355
Falco peregrinus,Brambilla et al. (2013),LC,Aves,865.6,2.637139431811617,2.603038472543325
Falco vespertinus,Brambilla et al. (2013),NT,Aves,167,-0.2035270444213765,-0.05039819743358165
Ficedula albicollis,Brambilla et al. (2013),LC,Aves,12.5,-0.2035270444213765,-0.00899109026701106
Glareola pratincola,Brambilla et al. (2013),LC,Aves,75,-0.2035270444213765,-0.025741538149927967
Glaucidium passerinum,Brambilla et al. (2013),LC,Aves,73,0.17037592952512062,0.34869745012882253
Gyps fulvus,Brambilla et al. (2013),LC,Aves,8525,1.6557950159846635,-0.4310800315142568
Himantopus himantopus,Brambilla et al. (2013),LC,Aves,157,2.637139431811617,2.792948350460678
Ixobrychus minutus,Brambilla et al. (2013),LC,Aves,146,-0.4533678487400183,-0.29461085126356334
Lanius collurio,Brambilla et al. (2013),LC,Aves,32.5,-1.457344949616671,-1.268169138784839
Lanius minor,Brambilla et al. (2013),LC,Aves,47.2,-0.2035270444213765,-0.018290938931606493
Lullula arborea,Brambilla et al. (2013),LC,Aves,26.3,-1.457344949616671,-1.2665074943548538
Melanocorypha calandra,Brambilla et al. (2013),LC,Aves,59,-0.828991501232173,-0.6469178803026977
Milvus migrans,Brambilla et al. (2013),LC,Aves,850,0.419074864813569,0.38915481733684765
Milvus milvus,Brambilla et al. (2013),NT,Aves,1231.8,-0.2035270444213765,-0.33577222792526085
Neophron percnopterus,Brambilla et al. (2013),EN,Aves,2026,0.17037592952512062,-0.1747205453165656
Nycticorax nycticorax,Brambilla et al. (2013),LC,Aves,590,2.269964364875116,2.3097261805913294
Pernis apivorus,Brambilla et al. (2013),LC,Aves,791,-0.828991501232173,-0.8430991259074209
Phalacrocorax aristotelis,Brambilla et al. (2013),LC,Aves,1598,-0.828991501232173,-1.0593809089716442
Picoides tridactylus,Brambilla et al. (2013),LC,Aves,61.2,-0.4533678487400183,-0.2718838435760217
Picus canus,Brambilla et al. (2013),LC,Aves,136,-0.828991501232173,-0.6675544320944514
